"date","observed"
"2018-09-15T07:00:00.00Z",22028962
"2018-09-15T07:01:00.00Z",14923759
"2018-09-15T07:02:00.00Z",13207773
"2018-09-15T07:03:00.00Z",12483960
"2018-09-15T07:04:00.00Z",16339091
"2018-09-15T07:05:00.00Z",12743286
"2018-09-15T07:06:00.00Z",20464000
"2018-09-15T07:07:00.00Z",13468560
"2018-09-15T07:08:00.00Z",12217542
"2018-09-15T07:09:00.00Z",18346600
"2018-09-15T07:10:00.00Z",10265783
"2018-09-15T07:11:00.00Z",15500200
"2018-09-15T07:12:00.00Z",16013154
"2018-09-15T07:13:00.00Z",13529111
"2018-09-15T07:14:00.00Z",14875800
"2018-09-15T07:15:00.00Z",17289342
"2018-09-15T07:16:00.00Z",16438690
"2018-09-15T07:17:00.00Z",14656174
"2018-09-15T07:18:00.00Z",11333294
"2018-09-15T07:19:00.00Z",16696588
"2018-09-15T07:20:00.00Z",15845143
"2018-09-15T07:21:00.00Z",9840136
"2018-09-15T07:22:00.00Z",16465957
"2018-09-15T07:23:00.00Z",13848679
"2018-09-15T07:24:00.00Z",17413876
"2018-09-15T07:25:00.00Z",12317350
"2018-09-15T07:26:00.00Z",17346650
"2018-09-15T07:27:00.00Z",9762227
"2018-09-15T07:28:00.00Z",14760536
"2018-09-15T07:29:00.00Z",14239364
"2018-09-15T07:30:00.00Z",12545524
"2018-09-15T07:31:00.00Z",13340161
"2018-09-15T07:32:00.00Z",15284214
"2018-09-15T07:33:00.00Z",15981565
"2018-09-15T07:34:00.00Z",16123190
"2018-09-15T07:35:00.00Z",17246370
"2018-09-15T07:36:00.00Z",19246000
"2018-09-15T07:37:00.00Z",15680773
"2018-09-15T07:38:00.00Z",17278222
"2018-09-15T07:39:00.00Z",14571630
"2018-09-15T07:40:00.00Z",13559323
"2018-09-15T07:41:00.00Z",13407552
"2018-09-15T07:42:00.00Z",17637970
"2018-09-15T07:43:00.00Z",14841962
"2018-09-15T07:44:00.00Z",15990240
"2018-09-15T07:45:00.00Z",16166407
"2018-09-15T07:46:00.00Z",20396824
"2018-09-15T07:47:00.00Z",18479416
"2018-09-15T07:48:00.00Z",19526148
"2018-09-15T07:49:00.00Z",16261720
"2018-09-15T07:50:00.00Z",16909728
"2018-09-15T07:51:00.00Z",14703758
"2018-09-15T07:52:00.00Z",12838200
"2018-09-15T07:53:00.00Z",14453667
"2018-09-15T07:54:00.00Z",20672870
"2018-09-15T07:55:00.00Z",13439960
"2018-09-15T07:56:00.00Z",14926824
"2018-09-15T07:57:00.00Z",15535885
"2018-09-15T07:58:00.00Z",9846875
"2018-09-15T07:59:00.00Z",15566636
"2018-09-15T08:00:00.00Z",14127727
"2018-09-15T08:01:00.00Z",8319400
"2018-09-15T08:02:00.00Z",17798218
"2018-09-15T08:03:00.00Z",15709762
"2018-09-15T08:04:00.00Z",10729478
"2018-09-15T08:05:00.00Z",16484417
"2018-09-15T08:06:00.00Z",16826000
"2018-09-15T08:07:00.00Z",15080000
"2018-09-15T08:08:00.00Z",15493182
"2018-09-15T08:09:00.00Z",15677143
